video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
Splwm2t4zIQ,https://youtu.be/Splwm2t4zIQ,Meet Morgan Wallen's Band [2023 Billboard Music Awards],Billboard Music Awards,2023-11-20T05:30:06Z,127835,Morgan Wallen,1
8lD5cTdu6H0,https://youtu.be/8lD5cTdu6H0,Behind Mariah Carey's Performance [2023 Billboard Music Awards],Billboard Music Awards,2023-11-20T04:35:00Z,881851,Mariah Carey,1
KzJioPEKHvw,https://youtu.be/KzJioPEKHvw,Rachel Zegler's Singing Lesson | Entertainment Weekly,Entertainment Weekly,2025-03-28T16:00:21Z,181845,"Billie Eilish,Lady Gaga",2
nUC8aljHnio,https://youtu.be/nUC8aljHnio,Ryan Reynolds and Hugh Jackman Recap 'Deadpool' 1 & 2 | Entertainment Weekly,Entertainment Weekly,2024-07-02T16:00:44Z,1548902,"Hugh Jackman,Ryan Reynolds",2
KdMm-_g_JS8,https://youtu.be/KdMm-_g_JS8,"Margot Robbie, Ryan Gosling & More Reveal How Disco Inspired 'Barbie' | Around The Table",Entertainment Weekly,2023-07-10T16:09:32Z,744192,"Margot Robbie,Ryan Gosling",2
7dDtTtNoMmg,https://youtu.be/7dDtTtNoMmg,"'RuPaul's Drag Race' S17 Queens Play Kai Kai, Marry, Eliminate",Entertainment Weekly,2025-01-02T16:00:06Z,141196,Katy Perry,1
rP2okfO48Uk,https://youtu.be/rP2okfO48Uk,RuPaul’s Drag Race Season 17 Cast Reveal Steamy Hook-Up In Season Preview | Entertainment Weekly,Entertainment Weekly,2025-01-01T15:01:02Z,333905,Katy Perry,1
mSH2OBDzFs0,https://youtu.be/mSH2OBDzFs0,Idina Menzel & Kristin Chenoweth Reveal Their Favorite 'Wicked' Songs,Entertainment Weekly,2024-11-26T17:00:50Z,1394339,Ariana Grande,1
oGyNVNstwb4,https://youtu.be/oGyNVNstwb4,Ariana Grande Gets Emotional While Bonding With Her 'Wicked' Witches,Entertainment Weekly,2024-11-26T14:00:59Z,231091,Ariana Grande,1
Ag7DDIW-Yqw,https://youtu.be/Ag7DDIW-Yqw,"Ariana Grande, Cynthia Erivo, Idina Menzel & Kristin Chenoweth Talk About Their 'Wicked' Legacy",Entertainment Weekly,2024-11-25T17:00:07Z,1589994,Ariana Grande,1
T83b6IuSYL8,https://youtu.be/T83b6IuSYL8,Sebastian Stan & Jeremy Strong on Playing Donald Trump and Roy Cohn in 'The Apprentice' | EW,Entertainment Weekly,2024-10-03T16:00:26Z,131010,Donald Trump,1
PucjqkEO03o,https://youtu.be/PucjqkEO03o,Alyssa Edwards Reveals Why She RuPaulogized to Katy Perry After Snatch Game,Entertainment Weekly,2024-08-15T22:00:27Z,197746,Katy Perry,1
io4kiNc9fBQ,https://youtu.be/io4kiNc9fBQ,RuPaul's Drag Race’s Alyssa Edwards Recaps Her Most Iconic Moments | Entertainment Weekly,Entertainment Weekly,2024-08-15T17:04:29Z,491055,Katy Perry,1
UhdDDf5dZKg,https://youtu.be/UhdDDf5dZKg,'Captain America: Brave New World' Cast Panel | SDCC 2024 | Entertainment Weekly,Entertainment Weekly,2024-07-28T04:13:45Z,167491,Harrison Ford,1
j4l0UGzM5TI,https://youtu.be/j4l0UGzM5TI,Ryan Reynolds on Cleaning Up the Timeline at the End of 'Deadpool 2',Entertainment Weekly,2024-07-26T19:00:23Z,161254,Ryan Reynolds,1
7V5b1p0AGO8,https://youtu.be/7V5b1p0AGO8,Robert Downey Jr. Praises Cillian Murphy’s Performance In 'Oppenheimer' 🥹 #Shorts,Entertainment Weekly,2023-07-27T16:50:07Z,165004,Robert Downey Jr.,1
jF2q-PsLVFI,https://youtu.be/jF2q-PsLVFI,The 'Oppenheimer' Cast Reveals How Christopher Nolan Gave Them Their Role | Around the Table,Entertainment Weekly,2023-07-17T20:16:30Z,2173443,Robert Downey Jr.,1
DI0FO5bhL5A,https://youtu.be/DI0FO5bhL5A,Ryan Gosling Loves America Ferrera’s Big ‘Barbie’ Monologue 🥹,Entertainment Weekly,2023-07-12T21:51:45Z,173414,Ryan Gosling,1
C4eI36FYbFs,https://youtu.be/C4eI36FYbFs,Chris Evans and Ana de Armas on 'Ghosted' | Entertainment Weekly,Entertainment Weekly,2023-04-21T16:05:17Z,133434,Chris Evans,1
L-T74oKjttw,https://youtu.be/L-T74oKjttw,Around the Table with The Cast of 'The Super Mario Bros Movie' | Entertainment Weekly,Entertainment Weekly,2023-04-06T17:00:49Z,106134,Chris Pratt,1
V-7_pRnOJB8,https://youtu.be/V-7_pRnOJB8,The Best Da Bomb Reactions of 2024 | Hot Ones,First We Feast,2025-01-02T18:00:17Z,624383,"Ariana Grande,Hugh Jackman,Sabrina Carpenter",3
amZ3fANPGIE,https://youtu.be/amZ3fANPGIE,Jimmy Fallon Gets Spooked By Spicy Wings | Hot Ones,First We Feast,2024-10-31T15:00:03Z,4176727,"Bruce Springsteen,Jimmy Fallon,Selena Gomez",3
739Sv3BW4UU,https://youtu.be/739Sv3BW4UU,"Jimmy Fallon: ""This is the one that killed Selena Gomez"" 💀",First We Feast,2024-11-11T17:00:14Z,295927,"Jimmy Fallon,Selena Gomez",2
yM8hLvNm-es,https://youtu.be/yM8hLvNm-es,Choosing between Taylor Swift and Billie Eilish is not for the weak 😂,First We Feast,2024-08-29T21:00:50Z,103216,"Billie Eilish,Taylor Swift",2
igmUnkx0fBw,https://youtu.be/igmUnkx0fBw,David Beckham Embraces the Moment While Eating Spicy Wings | Hot Ones,First We Feast,2024-08-29T15:00:45Z,4792177,"David Beckham,Lionel Messi",2
pHuJfCUQYqM,https://youtu.be/pHuJfCUQYqM,Ryan Reynolds and Hugh Jackman's reactions to every wing on Hot Ones 😂,First We Feast,2024-07-26T18:00:34Z,3525692,"Hugh Jackman,Ryan Reynolds",2
DLEL6i0YmkY,https://youtu.be/DLEL6i0YmkY,Ryan Reynolds and Hugh Jackman Go Claws Out While Eating Spicy Wings | Hot Ones,First We Feast,2024-07-25T15:00:16Z,34290799,"Hugh Jackman,Ryan Reynolds",2
XQKLRNweRJk,https://youtu.be/XQKLRNweRJk,Get ready for Ryan Reynolds and Hugh Jackman on HOT ONES! 💪️‍🔥,First We Feast,2024-07-24T19:00:25Z,614186,"Hugh Jackman,Ryan Reynolds",2
ysIaMwbHdS8,https://youtu.be/ysIaMwbHdS8,Joey King vs. Miranda Cosgrove | Hot Ones Versus,First We Feast,2024-07-01T17:00:44Z,1318244,"Sabrina Carpenter,Taylor Swift",2
YwXPD7AInb0,https://youtu.be/YwXPD7AInb0,"Why Ed Sheeran regrets giving Justin Bieber the song ""Love Yourself"" 😂",First We Feast,2024-05-26T21:00:15Z,910895,"Ed Sheeran,Justin Bieber",2
68UYBhIte3U,https://youtu.be/68UYBhIte3U,Who is the better performer: Taylor Swift or Harry Styles?,First We Feast,2024-01-27T23:30:01Z,101622,"Harry Styles,Taylor Swift",2
IrebCOq9_6Q,https://youtu.be/IrebCOq9_6Q,Taylor Swift's boyfriend reacts to every wing on Hot Ones,First We Feast,2023-12-29T21:00:08Z,1363986,"Taylor Swift,Travis Kelce",2
oeYmtTVlCPQ,https://youtu.be/oeYmtTVlCPQ,Bert Kreischer is our next action hero (sorry tom cruise),First We Feast,2023-05-22T23:00:17Z,139638,"Brad Pitt,Tom Cruise",2
uRInI9rnDNE,https://youtu.be/uRInI9rnDNE,Adam Richman Eats New Jersey’s Most Iconic Hot Dogs | Pro Moves,First We Feast,2025-05-14T17:01:18Z,588254,Bruce Springsteen,1
