video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
LOA-rEMU8pA,https://youtu.be/LOA-rEMU8pA,Ben Affleck Looks Completely Bored In His Early Acting Career | Throw Back Marathon | Graham Norton,The Graham Norton Show,2024-04-01T17:00:14Z,733172,"Ben Affleck,Margot Robbie,Ryan Gosling",3
t9H3_ewSKI8,https://youtu.be/t9H3_ewSKI8,Who’s On Tom Cruise’s Christmas Cake List? | Celebrity Gift Guide | The Graham Norton Show,The Graham Norton Show,2023-12-02T17:00:43Z,242233,"Chris Hemsworth,Hugh Jackman,Tom Cruise",3
rFnB7gTk8L8,https://youtu.be/rFnB7gTk8L8,Nicole Kidman learns Ryan Gosling's saddest story 😢,The Graham Norton Show,2025-03-27T12:01:15Z,472106,"Nicole Kidman,Ryan Gosling",2
g-YQ3_ovaDA,https://youtu.be/g-YQ3_ovaDA,Chris Pratt & Arnold Schwarzenegger Get Competitive | The Graham Norton Show,The Graham Norton Show,2025-02-28T18:00:39Z,169472,"Arnold Schwarzenegger,Chris Pratt",2
pzH-qvPMX2A,https://youtu.be/pzH-qvPMX2A,Brad Pitt STILL Gets Pranked By George Clooney | Besties & Bromances | The Graham Norton Show,The Graham Norton Show,2024-07-30T17:00:39Z,608736,"Brad Pitt,George Clooney",2
HltBuxnd274,https://youtu.be/HltBuxnd274,Ryan Reynolds & Hugh Jackman Share Hilarious Stories | Deadpool & Wolverine,The Graham Norton Show,2024-07-20T17:00:09Z,1727370,"Hugh Jackman,Ryan Reynolds",2
4SBbay-wExY,https://youtu.be/4SBbay-wExY,Lewis Capaldi Can't Handle His Own Joke | Best of Musicians Marathon | The Graham Norton Show,The Graham Norton Show,2024-04-24T17:00:02Z,889518,"Dua Lipa,Taylor Swift",2
XXh5cyrgj4k,https://youtu.be/XXh5cyrgj4k,This Could Get George Clooney Arrested!🚨 #Shorts,The Graham Norton Show,2024-02-25T17:00:22Z,1325755,"Brad Pitt,George Clooney",2
83Yph30DVGw,https://youtu.be/83Yph30DVGw,Cate Blanchett Had A Bottom Double | The Graham Norton Show,The Graham Norton Show,2024-02-21T18:00:06Z,229349,"Dua Lipa,Justin Timberlake",2
C7DVTR7aMXM,https://youtu.be/C7DVTR7aMXM,Barbie’s Margot Robbie & Ryan Gosling Compare Body Art | Golden Globes | The Graham Norton Show,The Graham Norton Show,2024-01-06T17:00:15Z,157674,"Margot Robbie,Ryan Gosling",2
