video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
Htti4Ne10d0,https://youtu.be/Htti4Ne10d0,"Late Night Nightmare w/ Kimmel, Meyers, Colbert, Fallon, Letterman & Noah",The Late Late Show with James Corden,2023-04-28T05:35:00Z,4200138,"Jimmy Fallon,Jimmy Kimmel",2
bflgj1-cdnE,https://youtu.be/bflgj1-cdnE,Tucker Carlson Isn't Much of a Tucker,The Late Late Show with James Corden,2023-04-25T05:52:17Z,335269,"Joe Biden,Tucker Carlson",2
2F4neZl_9mQ,https://youtu.be/2F4neZl_9mQ,Kim Kardashian recalls her career as a closet organizer for Paris Hilton #shorts #kimkardashian ￼,The Late Late Show with James Corden,2023-04-12T20:40:17Z,1490740,"Kim Kardashian,Paris Hilton",2
_H6QdL1hkLg,https://youtu.be/_H6QdL1hkLg,Donald Trump Wants His Perp Walk Moment,The Late Late Show with James Corden,2023-03-23T05:35:00Z,171823,"Donald Trump,Joe Biden",2
jHIWuE3G9Aw,https://youtu.be/jHIWuE3G9Aw,Bad Bunny Carpool Karaoke,The Late Late Show with James Corden,2023-03-15T04:40:00Z,11139604,"Ariana Grande,Harry Styles",2
BFWR8tDulD8,https://youtu.be/BFWR8tDulD8,How Did You Do In Your Oscars Pool?,The Late Late Show with James Corden,2023-03-14T05:44:19Z,185678,"Harrison Ford,Lady Gaga",2
WVwRoiX-0yo,https://youtu.be/WVwRoiX-0yo,Prince William & Kate's Wax Figures Are a Royal Mistake,The Late Late Show with James Corden,2023-03-08T07:25:13Z,285820,"Kate Middleton,King Charles",2
2-A6ykI3OmM,https://youtu.be/2-A6ykI3OmM,The State of Our Union Is Pretty Weird,The Late Late Show with James Corden,2023-02-09T06:35:00Z,226779,"George Santos,Joe Biden",2
1AbG70fho5k,https://youtu.be/1AbG70fho5k,The Last Late Late Show: Chapter 5 — One Year To Say Goodbye,The Late Late Show with James Corden,2023-05-25T13:00:01Z,237743,Tom Cruise,1
AeEYQ62t8hA,https://youtu.be/AeEYQ62t8hA,The Final Episode - FULL - The Late Late Show with James Corden,The Late Late Show with James Corden,2023-04-28T08:35:00Z,9375589,Harry Styles,1
bb0ud41Eumw,https://youtu.be/bb0ud41Eumw,Tom Cruise & James Join 'The Lion King' Cast,The Late Late Show with James Corden,2023-04-28T02:54:06Z,6114471,Tom Cruise,1
