name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType,vol_jump_dates
Aaron Rodgers,65246.0,40727.0,15529.0,1983-12-02T00:00:00Z,,United States,Celebrity,"[20230424, 20230912, 20240103, 20241006, 20250209]"
Akhilesh Yadav,28904.0,53213.0,11075.0,1973-07-01T00:00:00Z,,India,Politician,"[20240604, 20241011, 20241025]"
Akshay Kumar,32277.0,37624.0,18776.0,1967-09-09T00:00:00Z,,India,Celebrity,"[20230106, 20230728, 20230810, 20230815, 20230909, 20240712, 20240909, 20250124, 20250520]"
Alec Baldwin,75503.0,57146.0,9668.0,1958-04-03T00:00:00Z,,United States,Celebrity,"[20230119, 20240119]"
Alia Bhatt,40700.0,39160.0,9152.0,1993-03-15T00:00:00Z,,United Kingdom and India,Celebrity,"[20230315, 20231225, 20240315, 20240507, 20250313]"
Amit Shah,122257.0,124037.0,40572.0,1965-10-22T00:00:00Z,,India,Politician,"[20231014, 20240604, 20240629, 20241030, 20241218, 20250309]"
Amitabh Bachchan,39378.0,51080.0,13657.0,1942-10-11T00:00:00Z,,India,Celebrity,"[20230119, 20230216, 20230306, 20231011, 20240315]"
Andrzej Duda,75371.0,17972.0,7276.0,1972-05-16T00:00:00Z,,Poland,Politician,"[20230402, 20230405, 20230506, 20230815, 20231015, 20231106, 20231111, 20231220, 20240329, 20240516, 20240727, 20250503]"
Angelina Jolie,57580.0,57796.0,20042.0,1975-06-04T00:00:00Z,,United States,Celebrity,"[20230715, 20240405, 20240617, 20240829, 20241118, 20241231]"
Anthony Albanese,224673.0,224876.0,152924.0,1963-03-02T00:00:00Z,,Australia,Politician,"[20231014, 20240128, 20240331, 20240709, 20241107, 20250105, 20250503]"
Anthony Davis,72663.0,23135.0,12530.0,1993-03-11T00:00:00Z,,United States,Celebrity,"[20230416, 20230511, 20250202]"
Antony Blinken,277894.0,181680.0,11811.0,1962-04-16T00:00:00Z,,United States,Politician,"[20230906, 20230928, 20231012, 20240130, 20240402, 20250112]"
Ariana Grande,44392.0,87464.0,44992.0,1993-06-26T00:00:00Z,,United States,Celebrity,"[20230412, 20230717, 20240112, 20240308, 20241013, 20250303, 20250328]"
Arnold Schwarzenegger,46346.0,29616.0,9279.0,1947-07-30T00:00:00Z,,United States and Austria,Celebrity,"[20230429, 20230525, 20230607, 20240212, 20240311, 20241030, 20241218, 20250425]"
Arvind Kejriwal,62389.0,148040.0,42073.0,1968-08-16T00:00:00Z,,India,Politician,"[20240113, 20240321, 20240721, 20240729, 20241026, 20250208]"
Barack Obama,200524.0,269580.0,96722.0,1961-08-04T00:00:00Z,,United States,Politician,"[20230813, 20240628, 20240721, 20240820, 20240821, 20250120]"
Ben Affleck,56623.0,78043.0,29444.0,1972-08-15T00:00:00Z,,United States,Celebrity,"[20230206, 20230213, 20240212, 20240410, 20240516, 20240821]"
Benjamin Netanyahu,596777.0,770568.0,229396.0,1949-10-21T00:00:00Z,,Israel,Politician,"[20230710, 20230723, 20231007, 20241104]"
Bernard Arnault,13735.0,11487.0,5577.0,1949-03-05T00:00:00Z,,France,Entrepreneur,"[20230904, 20231029, 20240127, 20240211, 20241128, 20241207, 20250120, 20250129, 20250522, 20250525]"
Bernie Sanders,37156.0,52836.0,23151.0,1941-09-08T00:00:00Z,,United States,Politician,"[20230827, 20240628, 20240721, 20240821, 20241106, 20250305]"
Bill Clinton,85642.0,114585.0,36029.0,1946-08-19T00:00:00Z,,United States,Politician,"[20240104, 20240822, 20241014, 20241223, 20250109, 20250120]"
Bill Gates,109927.0,45749.0,21817.0,1955-10-28T00:00:00Z,<null>,United States,Entrepreneur,"[20230330, 20230521, 20240229, 20240329, 20240719, 20240819, 20241020, 20250126, 20250202, 20250507]"
Billie Eilish,42248.0,78009.0,34415.0,2001-12-18T00:00:00Z,,United States,Celebrity,"[20230502, 20231203, 20240205, 20240310, 20240311, 20240429, 20240517, 20240811, 20250203]"
Blake Lively,24866.0,47297.0,39086.0,1987-08-25T00:00:00Z,,United States,Celebrity,"[20230127, 20230213, 20240211, 20240507, 20241221]"
Blake Shelton,46879.0,52460.0,22961.0,1976-06-18T00:00:00Z,,United States,Celebrity,"[20230524, 20230815, 20231220, 20240101, 20240110, 20240211, 20250101, 20250527]"
Bob Dylan,52291.0,64754.0,44794.0,2000-01-01T00:00:00Z,,United States,Celebrity,"[20230310, 20230524, 20240524, 20240724, 20241008]"
Bob Iger,31334.0,15685.0,2677.0,1951-02-10T00:00:00Z,,United States,Entrepreneur,"[20230402, 20230712, 20231130, 20240908, 20241021]"
Bobby Bones,52895.0,62157.0,20086.0,1980-04-02T00:00:00Z,,United States,Celebrity,"[20240708, 20241006, 20241227, 20250331, 20250427]"
Boris Johnson,304639.0,105857.0,15793.0,1964-06-19T00:00:00Z,,United Kingdom,Politician,"[20230519, 20230609, 20230711, 20250524]"
Brad Pitt,56501.0,50395.0,18836.0,1981-11-08T00:00:00Z,,United States,Celebrity,"[20230111, 20230716, 20231210, 20231218, 20240202, 20240901, 20241231, 20250209]"
Brad Smith,11321.0,7516.0,2686.0,1959-01-17T00:00:00Z,,United States,Entrepreneur,"[20230221, 20231111, 20240501, 20240813, 20250223]"
Britney Spears,143234.0,53487.0,11896.0,1981-12-02T00:00:00Z,,United States,Celebrity,"[20230706, 20230812, 20230817, 20231017, 20231024, 20240104, 20240503]"
Bruce Springsteen,58845.0,71855.0,21916.0,1949-09-23T00:00:00Z,,United States,Celebrity,"[20230816, 20230907, 20230927, 20231031, 20240923, 20241001, 20241004, 20250531]"
Carlo Ancelotti,35637.0,37701.0,18991.0,1959-06-10T00:00:00Z,,Italy,Celebrity,"[20230210, 20230221, 20230517, 20230705, 20231229, 20240306, 20240409, 20240417, 20240430, 20240508, 20240601, 20240629]"
Carrie Underwood,47316.0,64602.0,42959.0,1983-03-10T00:00:00Z,,United States,Celebrity,"[20250101, 20250113, 20250120]"
Chris Christie,71262.0,22459.0,993.0,1962-09-06T00:00:00Z,,United States,Politician,"[20240911, 20250425]"
Chris Evans,25442.0,18939.0,6971.0,1981-06-13T00:00:00Z,,United States,Celebrity,"[20230106, 20230214, 20230910, 20230911, 20241210]"
Chris Hemsworth,19871.0,28167.0,6158.0,1983-08-11T00:00:00Z,,Australia,Celebrity,"[20230403, 20230607, 20230616, 20230811, 20231201, 20240310, 20240501]"
Chris Pratt,22535.0,12119.0,6956.0,1978-06-21T00:00:00Z,,United States,Celebrity,"[20230930, 20240629, 20250227, 20250307]"
Chris Stapleton,43355.0,52685.0,13057.0,1978-04-15T00:00:00Z,,United States,Celebrity,"[20230212, 20231109, 20240517, 20241121, 20250101, 20250109]"
Chuck Schumer,28754.0,34076.0,24446.0,1950-11-23T00:00:00Z,,United States,Politician,"[20240617, 20241018]"
Cristiano Ronaldo,857002.0,59726.0,15457.0,1985-02-05T00:00:00Z,,Portugal,Celebrity,"[20230119, 20230225, 20231013, 20240618, 20240622, 20240701, 20240705]"
Cyril Ramaphosa,55518.0,40568.0,12545.0,1952-11-17T00:00:00Z,,South Africa,Politician,"[20230214, 20230306, 20230616, 20231014, 20240107, 20240526, 20240619, 20240924, 20241202, 20250505, 20250521]"
Dana White,62752.0,20710.0,10411.0,1969-07-29T00:00:00Z,,United States,Entrepreneur,[20230103]
Danielle Smith,35249.0,36333.0,27989.0,1971-04-01T00:00:00Z,,Canada,Politician,"[20230228, 20230530, 20230921, 20240201, 20240717, 20240725, 20250112, 20250429]"
David Beckham,54609.0,30701.0,12435.0,1975-05-02T00:00:00Z,,United Kingdom,Celebrity,"[20230603, 20230607, 20230722, 20230820, 20231004, 20231115]"
David Solomon ,4316.0,2027.0,1247.0,1962-01-17T00:00:00Z,,United States,Entrepreneur,"[20230117, 20230811, 20231017, 20250117, 20250207, 20250412, 20250527]"
Dolly Parton,89506.0,84397.0,38048.0,1946-01-19T00:00:00Z,,United States,Celebrity,"[20231123, 20250304]"
Donald Trump,1910209.0,3705629.0,2572869.0,1945-06-14T00:00:00Z,,United States,Politician,"[20230318, 20240628, 20240713, 20240911, 20241105]"
Dua Lipa,48028.0,70201.0,13970.0,1995-08-22T00:00:00Z,,United Kingdom and Albania,Celebrity,"[20230502, 20230520, 20231110, 20231117, 20240205, 20240628, 20240912, 20241208, 20241216]"
Ed Sheeran,73907.0,33650.0,19102.0,1991-02-17T00:00:00Z,,United Kingdom,Celebrity,"[20230301, 20231020, 20231026, 20240705, 20240710]"
Eknath Shinde,51718.0,56143.0,14080.0,1964-02-09T00:00:00Z,,India,Politician,"[20240604, 20240916, 20241013, 20241123, 20250316, 20250324]"
Elon Musk,405985.0,441823.0,513483.0,1971-06-28T00:00:00Z,,United States and South Africa,Entrepreneur,"[20230910, 20231130, 20240130, 20240407, 20240723, 20240813, 20240911, 20241113, 20250120, 20250529]"
Elton John,121132.0,85474.0,42175.0,1987-04-08T00:00:00Z,,United Kingdom,Celebrity,"[20230625, 20241202]"
Eric Trump,48876.0,29192.0,8617.0,1984-01-06T00:00:00Z,,United States,Entrepreneur,"[20230218, 20240527, 20240710, 20240926, 20250120]"
