name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType,vol_jump_dates
Aaron Rodgers,65246.0,40727.0,15529.0,1983-12-02T00:00:00Z,,United States,Celebrity,"[20230109, 20230313, 20230417, 20230424, 20230912, 20231217, 20240103, 20240312, 20240611, 20240910, 20240915, 20240920, 20240929, 20241006, 20241027, 20241110, 20241117, 20250209, 20250310]"
Akhilesh Yadav,28904.0,53213.0,11075.0,1973-07-01T00:00:00Z,,India,Politician,"[20230413, 20230701, 20240604, 20241011, 20241025, 20241123]"
Akshay Kumar,32277.0,37624.0,18776.0,1967-09-09T00:00:00Z,,India,Celebrity,"[20230106, 20230122, 20230224, 20230225, 20230226, 20230322, 20230325, 20230421, 20230718, 20230722, 20230728, 20230802, 20230810, 20230813, 20230815, 20230909, 20231202, 20240203, 20240316, 20240327, 20240413, 20240706, 20240712, 20240815, 20240826, 20240909, 20241123, 20250105, 20250124, 20250308, 20250322, 20250403, 20250418, 20250520]"
Alec Baldwin,75503.0,57146.0,9668.0,1958-04-03T00:00:00Z,,United States,Celebrity,"[20230119, 20240119, 20240423, 20240710, 20240712, 20240713]"
Alia Bhatt,40700.0,39160.0,9152.0,1993-03-15T00:00:00Z,,United Kingdom and India,Celebrity,"[20230222, 20230315, 20230414, 20230502, 20230805, 20230811, 20230812, 20230813, 20231017, 20231225, 20240315, 20240507, 20241122, 20241214, 20241225, 20250111, 20250305, 20250313, 20250506, 20250523, 20250524]"
Amit Shah,122257.0,124037.0,40572.0,1965-10-22T00:00:00Z,,India,Politician,"[20231014, 20231022, 20231119, 20240501, 20240604, 20240609, 20240629, 20241030, 20241031, 20241218, 20241219, 20250208, 20250304, 20250309, 20250422]"
Amitabh Bachchan,39378.0,51080.0,13657.0,1942-10-11T00:00:00Z,,India,Celebrity,"[20230119, 20230216, 20230306, 20230804, 20231010, 20231011, 20231231, 20240213, 20240217, 20240315, 20240627, 20240713, 20241010, 20241011, 20250418]"
Andrzej Duda,75371.0,17972.0,7276.0,1972-05-16T00:00:00Z,,Poland,Politician,"[20230111, 20230221, 20230402, 20230405, 20230421, 20230506, 20230815, 20230907, 20231015, 20231106, 20231111, 20231211, 20231213, 20231220, 20231223, 20231231, 20240109, 20240110, 20240114, 20240115, 20240124, 20240201, 20240203, 20240329, 20240407, 20240516, 20240705, 20240711, 20240727, 20240815, 20240825, 20240919, 20241111, 20250109, 20250221, 20250223, 20250503, 20250518, 20250528]"
Angelina Jolie,57580.0,57796.0,20042.0,1975-06-04T00:00:00Z,,United States,Celebrity,"[20230715, 20240104, 20240405, 20240412, 20240602, 20240617, 20240829, 20240830, 20240912, 20241019, 20241118, 20241231, 20250126, 20250501]"
Anthony Albanese,224673.0,224876.0,152924.0,1963-03-02T00:00:00Z,,Australia,Politician,"[20230225, 20231014, 20240104, 20240128, 20240215, 20240331, 20240709, 20241107, 20241108, 20250105, 20250503]"
