name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType,vol_jump_dates
Aaron Rodgers,65246.0,40727.0,15529.0,1983-12-02T00:00:00Z,,United States,Celebrity,"[20230109, 20230315, 20230424, 20230912, 20231002, 20240103, 20240110, 20240313, 20240612, 20240909, 20240910, 20240920, 20241006, 20241015, 20241021, 20241101, 20241229, 20250106, 20250210, 20250213, 20250311, 20250401, 20250418, 20250425, 20250515]"
Akhilesh Yadav,28904.0,53213.0,11075.0,1973-07-01T00:00:00Z,,India,Politician,"[20230108, 20230415, 20230416, 20230508, 20230701, 20230820, 20230908, 20240122, 20240128, 20240228, 20240425, 20240510, 20240518, 20240525, 20240528, 20240604, 20240625, 20240701, 20240712, 20240713, 20240719, 20240721, 20240730, 20240813, 20241011, 20241025, 20241123, 20241128, 20241231, 20250109, 20250208, 20250402, 20250408, 20250419]"
Akshay Kumar,32277.0,37624.0,18776.0,1967-09-09T00:00:00Z,,India,Celebrity,"[20230122, 20230226, 20230322, 20230325, 20230423, 20230728, 20230810, 20230815, 20230909, 20231008, 20231202, 20231225, 20240229, 20240322, 20240327, 20240413, 20240713, 20240815, 20240826, 20240909, 20241012, 20250125, 20250420, 20250520]"
Alec Baldwin,75503.0,57146.0,9668.0,1958-04-03T00:00:00Z,,United States,Celebrity,"[20230119, 20230201, 20230210, 20230221, 20230225, 20230421, 20230816, 20231018, 20231219, 20240107, 20240114, 20240120, 20240201, 20240307, 20240416, 20240423, 20240505, 20240525, 20240605, 20240702, 20240708, 20240710, 20240713, 20240907, 20241020, 20241117, 20241121, 20241222, 20250224, 20250320, 20250323]"
Alia Bhatt,40700.0,39160.0,9152.0,1993-03-15T00:00:00Z,,United Kingdom and India,Celebrity,"[20230208, 20230222, 20230315, 20230414, 20230502, 20230813, 20231018, 20231127, 20231225, 20240315, 20240507, 20240511, 20240730, 20241013, 20241109, 20241215, 20241225, 20250315, 20250506, 20250525]"
Amit Shah,122257.0,124037.0,40572.0,1965-10-22T00:00:00Z,,India,Politician,"[20230331, 20230611, 20230806, 20230811, 20230917, 20231014, 20231022, 20231119, 20231212, 20240102, 20240116, 20240122, 20240211, 20240217, 20240423, 20240501, 20240512, 20240604, 20240609, 20240613, 20240629, 20240804, 20240828, 20240907, 20241022, 20241031, 20241219, 20250127, 20250309, 20250402, 20250423, 20250507]"
Amitabh Bachchan,39378.0,51080.0,13657.0,1942-10-11T00:00:00Z,,India,Celebrity,"[20230119, 20230122, 20230217, 20230306, 20230422, 20230520, 20230604, 20230726, 20230805, 20230813, 20231011, 20231209, 20231231, 20240122, 20240213, 20240217, 20240315, 20240620, 20240629, 20240714, 20240725, 20240824, 20241011, 20241202, 20250202, 20250226, 20250314, 20250405, 20250418, 20250428]"
Andrzej Duda,75371.0,17972.0,7276.0,1972-05-16T00:00:00Z,,Poland,Politician,"[20230221, 20230402, 20230405, 20230503, 20230506, 20230529, 20230630, 20230815, 20231015, 20231106, 20231111, 20231213, 20231223, 20240110, 20240115, 20240124, 20240204, 20240312, 20240329, 20240407, 20240419, 20240516, 20240706, 20240711, 20240727, 20240825, 20240920, 20241111, 20241124, 20250109, 20250223, 20250503, 20250518, 20250529]"
Angelina Jolie,57580.0,57796.0,20042.0,1975-06-04T00:00:00Z,,United States,Celebrity,"[20230419, 20230429, 20230508, 20230521, 20230604, 20230715, 20230826, 20231029, 20240104, 20240107, 20240204, 20240224, 20240406, 20240602, 20240617, 20240830, 20240908, 20240912, 20241012, 20241023, 20241118, 20241229, 20241231, 20250106, 20250126, 20250405, 20250501, 20250517]"
Anthony Albanese,224673.0,224876.0,152924.0,1963-03-02T00:00:00Z,,Australia,Politician,"[20230107, 20230226, 20230309, 20230325, 20230503, 20230506, 20230910, 20230911, 20231014, 20231026, 20240104, 20240128, 20240215, 20240305, 20240413, 20240425, 20240429, 20240903, 20241015, 20241029, 20241108, 20250223, 20250302, 20250331, 20250403, 20250503]"
Anthony Davis,72663.0,23135.0,12530.0,1993-03-11T00:00:00Z,,United States,Celebrity,"[20230208, 20230401, 20230416, 20230503, 20230511, 20230517, 20230523, 20230716, 20230805, 20231210, 20240317, 20240408, 20240426, 20240430, 20240728, 20240810, 20241023, 20241226, 20250129, 20250202, 20250208, 20250226, 20250318, 20250419]"
Antony Blinken,277894.0,181680.0,11811.0,1962-04-16T00:00:00Z,,United States,Politician,"[20230131, 20230204, 20230219, 20230302, 20230602, 20230619, 20230625, 20230808, 20230906, 20230910, 20230914, 20230923, 20231012, 20231015, 20231103, 20231117, 20231201, 20240107, 20240109, 20240130, 20240221, 20240402, 20240427, 20240515, 20240628, 20240802, 20240819, 20240913, 20241112, 20241126, 20241212, 20250105, 20250112, 20250116, 20250120, 20250209, 20250323, 20250509]"
Ariana Grande,44392.0,87464.0,44992.0,1993-06-26T00:00:00Z,,United States,Celebrity,"[20230121, 20230224, 20230410, 20230412, 20230626, 20230717, 20230718, 20230728, 20230825, 20231007, 20231225, 20240112, 20240212, 20240308, 20240507, 20240608, 20240626, 20240727, 20240808, 20241013, 20241110, 20241124, 20241126, 20241220, 20250106, 20250203, 20250220, 20250303, 20250328, 20250506]"
Arnold Schwarzenegger,46346.0,29616.0,9279.0,1947-07-30T00:00:00Z,,United States and Austria,Celebrity,"[20230121, 20230414, 20230429, 20230503, 20230521, 20230528, 20230604, 20230610, 20230612, 20230618, 20230625, 20230629, 20230730, 20231008, 20231027, 20231224, 20240106, 20240118, 20240203, 20240206, 20240212, 20240311, 20240326, 20240424, 20240714, 20240721, 20240730, 20240813, 20240918, 20240922, 20241013, 20241030, 20241218, 20241222, 20250101, 20250109, 20250125, 20250209, 20250217, 20250325, 20250425]"
Arvind Kejriwal,62389.0,148040.0,42073.0,1968-08-16T00:00:00Z,,India,Politician,"[20230118, 20230228, 20230416, 20230426, 20230713, 20230804, 20230808, 20230816, 20230914, 20231102, 20231223, 20240104, 20240114, 20240208, 20240316, 20240322, 20240401, 20240409, 20240412, 20240421, 20240429, 20240507, 20240510, 20240526, 20240604, 20240621, 20240628, 20240630, 20240707, 20240713, 20240716, 20240721, 20240730, 20240828, 20240910, 20240915, 20240919, 20240927, 20241005, 20241026, 20241201, 20250130, 20250208, 20250220, 20250419]"
Barack Obama,200524.0,269580.0,96722.0,1961-08-04T00:00:00Z,,United States,Politician,"[20230203, 20230227, 20230327, 20230526, 20230611, 20230624, 20230725, 20230813, 20230816, 20230907, 20231129, 20231217, 20231224, 20240318, 20240601, 20240628, 20240714, 20240721, 20240726, 20240821, 20241011, 20241023, 20241031, 20241106, 20250109, 20250120, 20250124, 20250405, 20250410, 20250414]"
Ben Affleck,56623.0,78043.0,29444.0,1972-08-15T00:00:00Z,,United States,Celebrity,"[20230207, 20230213, 20230512, 20230619, 20230705, 20230821, 20231210, 20240212, 20240410, 20240507, 20240517, 20240601, 20240811, 20240817, 20240821, 20241130, 20250109, 20250326, 20250426, 20250518]"
Benjamin Netanyahu,596777.0,770568.0,229396.0,1949-10-21T00:00:00Z,,Israel,Politician,"[20230122, 20230305, 20230327, 20230329, 20230407, 20230416, 20230704, 20230710, 20230713, 20230723, 20231009, 20231012, 20231113, 20240110, 20240120, 20240126, 20240213, 20240305, 20240318, 20240327, 20240401, 20240414, 20240418, 20240501, 20240520, 20240524, 20240530, 20240725, 20240727, 20240920, 20240929, 20241001, 20241020, 20241101, 20241104, 20241121, 20241230, 20250205, 20250403, 20250506, 20250523]"
