name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType,vol_jump_dates
Aaron Rodgers,65246.0,40727.0,15529.0,1983-12-02T00:00:00Z,,United States,Celebrity,"[20230108, 20230313, 20230911, 20230912, 20240909, 20240919]"
Akhilesh Yadav,28904.0,53213.0,11075.0,1973-07-01T00:00:00Z,,India,Politician,"[20230630, 20240603, 20240604, 20240630, 20241010, 20241011]"
Akshay Kumar,32277.0,37624.0,18776.0,1967-09-09T00:00:00Z,,India,Celebrity,"[20230105, 20230224, 20230225, 20230321, 20230421, 20230718, 20230727, 20230809, 20230810, 20230814, 20230815, 20230908, 20230909, 20231006, 20231201, 20240326, 20240410, 20240711, 20240712, 20240814, 20240908, 20250123, 20250124]"
Alec Baldwin,75503.0,57146.0,9668.0,1958-04-03T00:00:00Z,,United States,Celebrity,"[20230118, 20230119, 20240118, 20240119, 20240709, 20240712]"
Alia Bhatt,40700.0,39160.0,9152.0,1993-03-15T00:00:00Z,,United Kingdom and India,Celebrity,"[20230207, 20230221, 20230314, 20230315, 20230325, 20230501, 20230617, 20230805, 20230811, 20230812, 20231017, 20231224, 20231225, 20240314, 20240315, 20240506, 20240507, 20241011, 20250524]"
Amit Shah,122257.0,124037.0,40572.0,1965-10-22T00:00:00Z,,India,Politician,"[20231013, 20231118, 20240511, 20240603, 20240604, 20240608, 20240609, 20240628, 20241029, 20241030, 20241217, 20241218, 20250308, 20250422]"
Amitabh Bachchan,39378.0,51080.0,13657.0,1942-10-11T00:00:00Z,,India,Celebrity,"[20230118, 20230119, 20230215, 20230216, 20230305, 20230306, 20230804, 20231010, 20231230, 20240314, 20240315, 20240713, 20240724, 20241009, 20241010]"
Andrzej Duda,75371.0,17972.0,7276.0,1972-05-16T00:00:00Z,,Poland,Politician,"[20230220, 20230221, 20230401, 20230404, 20230505, 20230528, 20230814, 20231014, 20231015, 20231105, 20231106, 20231110, 20231220, 20231223, 20240108, 20240109, 20240114, 20240123, 20240202, 20240203, 20240328, 20240406, 20240705, 20240710, 20240824, 20240918, 20240919, 20241029, 20241111, 20250222, 20250517, 20250528]"
Angelina Jolie,57580.0,57796.0,20042.0,1975-06-04T00:00:00Z,,United States,Celebrity,"[20230714, 20230715, 20240405, 20240531, 20240601, 20240616, 20240829, 20240830, 20240907, 20240911, 20241117, 20241118, 20241230, 20250125]"
Anthony Albanese,224673.0,224876.0,152924.0,1963-03-02T00:00:00Z,,Australia,Politician,"[20240214, 20241106, 20241107, 20250502, 20250503]"
