name,error type
Kamala Harris,zero start/end
Jens Stoltenberg,zero start/end
Alexander Lukashenko,zero start/end
Alexander Ovechkin,zero start/end
Nikki Haley,zero start/end
Peter Dutton,zero start/end
Lloyd Austin,zero start/end
Mike Johnson,zero start/end
Sheikh Hasina,zero start/end
Dmitry Peskov,zero start/end
Jimmy Carter,zero start/end
Tim Walz,zero start/end
Ramzan Kadyrov,zero start/end
Kate Middleton,zero start/end
Queen Camilla,zero start/end
Stormy Daniels,zero start/end
Nikita Mikhalkov,zero start/end
Rachel Reeves,zero start/end
Silvio Berlusconi,zero start/end
Tucker Carlson,zero start/end
Ajit Pawar,zero start/end
Denis Pushilin,zero start/end
Eric Adams,zero start/end
Fumio Kishida,zero start/end
Jeremy Hunt,zero start/end
Yoon Suk Yeol,zero start/end
Lisa Marie,zero start/end
Vivek Ramaswamy,zero start/end
Humza Yousaf,zero start/end
Mark Carney,zero start/end
Jake Sullivan,zero start/end
Alvin Bragg,zero start/end
Pete Hegseth,zero start/end
Dmitry Rogozin,zero start/end
Suella Braverman,zero start/end
Hassan Nasrallah,zero start/end
Ismail Haniyeh,empty chunk 1
Alla Pugacheva,zero start/end
Tatiana Tarasova,empty chunk 1
Dmitry Azarov,zero start/end
Matthew Perry,zero start/end
Sergei Lavrov,zero start/end
Anastasia Volochkova,zero start/end
Mahmoud Abbas,zero start/end
Matt Gaetz,zero start/end
Alexander Bastrykin,empty chunk 1
Alexei Navalny,zero start/end
Shehbaz Sharif,zero start/end
James Cleverly,zero start/end
Valery Meladze,zero start/end
Ali Khamenei,zero start/end
Yevgeny Prigozhin,zero start/end
Letitia James,zero start/end
Josh Shapiro,zero start/end
Karoline Leavitt,zero start/end
Leonid Slutsky,zero start/end
Leonid Fedun,empty chunk 1
Simon Harris,zero start/end
Nicola Sturgeon,zero start/end
Chris Minns,zero start/end
Kemi Badenoch,zero start/end
Karine Jean-Pierre,zero start/end
Leo Varadkar,zero start/end
Daniel Hagari,empty chunk 1
Zhou Qi,zero start/end
Alexis Tsipras,zero start/end
Mallikarjun Kharge,zero start/end
Tina Turner,zero start/end
Oleg Melnichenko,zero start/end
Olga Buzova,zero start/end
Rajnath Singh,zero start/end
Valery Gerasimov,zero start/end
Isaac Herzog,zero start/end
George Santos,zero start/end
Wang Wenbin,zero start/end
Alejandro Mayorkas,zero start/end
John Swinney,zero start/end
Julian Assange,zero start/end
Andy Beshear,zero start/end
David Lammy,zero start/end
Robert Fico,zero start/end
Penny Wong,zero start/end
Jeremy Renner,zero start/end
Bruce Miller,zero start/end
Boyko Borisov,zero start/end
Nitish Kumar,zero start/end
Denis Manturov,zero start/end
Yvette Cooper,zero start/end
Ed Davey,zero start/end
Vladmir Putin,zero start/end
Michael Bloomberg,zero start/end
Jensen Huang,zero start/end
Shou Zi Chew,zero start/end
Steve Mollenkopf,zero start/end
Mary Barra,zero start/end
Lei Jun,zero start/end
Marc Benioff,zero start/end
Akio Toyoda,zero start/end
Masayoshi Son,zero start/end
Eric Schmidt,zero start/end
Marc Andreessen,zero start/end
Reed Hastings,zero start/end
David Rubenstein,zero start/end
Jane Fraser,zero start/end
Dara Khosrowshahi,zero start/end
Doug Mcmillon,zero start/end
Evan Spiegel,zero start/end
Brian Chesky ,zero start/end
Ruth Porat,zero start/end
Susan Wojcicki,zero start/end
Cathy Engelbert,zero start/end
Safra Catz,zero start/end
Ritesh Agarwal,zero start/end
Shantanu Narayen,zero start/end
Laurene Powell Jobs,zero start/end
Daniel Zhang,zero start/end
Scott Farquhar,zero start/end
Vinod Khosia,empty chunk 1
Chamath Palihapitiya,zero start/end
Robin Li,zero start/end
Ben Horowitz,zero start/end
Pony Ma,zero start/end
John Elkann,zero start/end
Stephan Winkelmann,zero start/end
Chris Kempczinski,zero start/end
James Quincey,zero start/end
Ryan Mcinerney,zero start/end
Koji Sato,zero start/end
Arvind Krishna,zero start/end
Chuck Robbins,zero start/end
Elliott Hill,zero start/end
David Zaslav,zero start/end
Adam Silver,zero start/end
Kelly Ortberg,zero start/end
Oliver Blume,zero start/end
Euisun Chung,zero start/end
Benedetto Vigna,zero start/end
Piero Ferrari,zero start/end
Wael Sawan,zero start/end
