name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType
Donald Trump,1910209,3705629,2572869,1945-06-14T00:00:00Z,,United States,Politician
Joe Biden,2111874,2489224,440975,1942-11-20T00:00:00Z,,United States,Politician
Pope Francis,439989,325595,857582,1936-12-17T00:00:00Z,2025-04-21T00:00:00Z,Argentina,Politician
Benjamin Netanyahu,596777,770568,229396,1949-10-21T00:00:00Z,,Israel,Politician
Kamala Harris,139834,1234685,90707,1964-10-20T00:00:00Z,,United States,Politician
Taylor Swift,541536,750520,109801,1989-12-13T00:00:00Z,,United States,Celebrity
Elon Musk,405985,441823,513483,1971-06-28T00:00:00Z,,United States and South Africa,Entrepreneur
Narendra Modi,458322,427139,129871,1950-09-17T00:00:00Z,,India,Politician
Cristiano Ronaldo,857002,59726,15457,1985-02-05T00:00:00Z,,Portugal,Celebrity
Keir Starmer,175333,476416,211383,1962-09-02T00:00:00Z,,United Kingdom,Politician
Hunter Biden,392687,408157,24560,1970-02-04T00:00:00Z,,United States,Entrepreneur
King Charles,340150,248707,62729,1988-05-06T00:00:00Z,,United Kingdom,Politician
Rahul Gandhi,272311,290226,55924,1970-06-19T00:00:00Z,,India,Politician
Anthony Albanese,224673,224876,152924,1963-03-02T00:00:00Z,,Australia,Politician
Barack Obama,200524,269580,96722,1961-08-04T00:00:00Z,,United States,Politician
Justin Trudeau,190036,165988,117260,1971-12-25T00:00:00Z,,Canada,Politician
Antony Blinken,277894,181680,11811,1962-04-16T00:00:00Z,,United States,Politician
Imran Khan,272676,159679,30579,1952-10-05T00:00:00Z,,Pakistan,Politician
Boris Johnson,304639,105857,15793,1964-06-19T00:00:00Z,,United Kingdom,Politician
Jens Stoltenberg,303004,100434,2398,1959-03-16T00:00:00Z,,Norway,Politician
Alexander Lukashenko,319761,62561,23251,1976-04-28T00:00:00Z,,Belarus,Politician
Volodymyr Zelenskyy,164194,108988,97262,1978-01-25T00:00:00Z,,Ukraine,Politician
Alexander Ovechkin,364752,1741,3537,1985-09-17T00:00:00Z,,Soviet Union,Celebrity
Nikki Haley,160717,193158,2385,1972-01-20T00:00:00Z,,United States,Politician
Peter Dutton,79480,108505,156592,1970-11-18T00:00:00Z,,Australia,Politician
Lloyd Austin,202350,124136,8132,1953-08-08T00:00:00Z,,United States,Politician
Mike Johnson,65539,205329,63443,1975-10-03T00:00:00Z,,United States,Politician
Travis Kelce,99916,173428,36601,1989-10-05T00:00:00Z,,United States,Celebrity
Sheikh Hasina,112637,152282,32186,1947-09-28T00:00:00Z,,Bangladesh,Politician
Gavin Newsom,121938,108181,58935,1967-10-10T00:00:00Z,,United States,Politician
Amit Shah,122257,124037,40572,1965-10-22T00:00:00Z,,India,Politician
Hillary Clinton,90235,159510,29768,1947-10-26T00:00:00Z,,United States,Politician
Dmitry Peskov,130578,94640,53703,1967-10-17T00:00:00Z,,Soviet Union,Politician
Jimmy Carter,91467,106085,73809,1924-10-01T00:00:00Z,2024-12-29T00:00:00Z,United States,Politician
Tim Walz,20134,230914,16695,1964-04-06T00:00:00Z,,United States,Politician
